side,price,fees,available_quantity,cmp,position_value_cost,pnl_realise,pnl_latent,timestamp,symbol,qty,notional,cost,_mark
BUY,96.11,0.7519069740000001,260.0,96.1128919499,24989.351906974,0.0,-497.8719069740026,2023-01-09 00:00:00+00:00,IAM,260.0,24988.6,0.7519069740000001,94.198
BUY,91.937,0.5615760189900001,463.0,94.28320622676672,43653.12448299299,0.0,-1560.8684829929898,2023-02-23 00:00:00+00:00,IAM,203.0,18663.211,0.5615760189900001,90.912
BUY,91.031,0.4218249096600001,617.0,93.47215609060399,57672.320307902664,0.0,-2049.7703079026574,2023-03-06 00:00:00+00:00,IAM,154.0,14018.774000000001,0.4218249096600001,90.15
BUY,89.655,0.31833083610000007,735.0,92.8597668554269,68251.92863873877,0.0,-3219.1286387387668,2023-03-08 00:00:00+00:00,IAM,118.0,10579.29,0.31833083610000007,88.48
BUY,87.154,0.23864421126000002,826.0,92.2314543377119,76183.18128295003,0.0,-7649.9612829500265,2023-03-20 00:00:00+00:00,IAM,91.0,7931.013999999999,0.23864421126000002,82.97
SELL,90.712,2.254586890080001,0.0,0.0,0.0,-1257.3238698401026,0.0,2023-06-19 00:00:00+00:00,IAM,-826.0,74928.11200000001,2.254586890080001,95.185
BUY,97.906,0.7423898680800001,252.0,97.90894599154001,24673.05438986808,0.0,829.3456101319186,2023-10-05 00:00:00+00:00,IAM,252.0,24672.312,0.7423898680800001,101.2
BUY,97.905,0.5567867140500001,441.0,97.90851740721571,43177.65617658213,0.0,-1209.009176582128,2023-10-27 00:00:00+00:00,IAM,189.0,18504.045000000002,0.5567867140500001,95.167
BUY,91.266,0.41742147888000003,593.0,96.20658616873695,57050.50559806101,0.0,-4027.410598061006,2024-02-07 00:00:00+00:00,IAM,152.0,13872.432,0.41742147888000003,89.415
BUY,93.295,0.31160436705000005,704.0,95.7479576739035,67406.56220242806,0.0,-2439.330202428063,2024-05-23 00:00:00+00:00,IAM,111.0,10355.745,0.31160436705000005,92.283
BUY,89.055,0.23313085065000008,791.0,95.01211167291873,75154.58033327872,0.0,-5368.605333278724,2024-06-21 00:00:00+00:00,IAM,87.0,7747.785000000001,0.23313085065000008,88.225
SELL,92.348,2.19799229412,0.0,0.0,0.0,-2109.51032557284,0.0,2024-08-23 00:00:00+00:00,IAM,-791.0,73047.268,2.19799229412,94.653
BUY,83.331,0.72464720931,289.0,83.33350742979,24083.38364720931,0.0,-94.93864720931235,2025-01-02 00:00:00+00:00,IAM,289.0,24082.659,0.72464720931,83.005
SELL,91.195,0.7930326319500001,0.0,0.0,0.0,2271.178320158737,0.0,2025-01-17 00:00:00+00:00,IAM,-289.0,26355.355,0.7930326319500001,92.74
BUY,107.337,0.7428471759000002,230.0,107.34022977033001,24688.252847175903,0.0,-368.5128471759029,2025-06-19 00:00:00+00:00,IAM,230.0,24687.510000000002,0.7428471759000002,105.738
SELL,115.614,0.8001298098000001,0.0,0.0,0.0,1902.1670230142984,0.0,2025-07-08 00:00:00+00:00,IAM,-230.0,26591.22,0.8001298098000001,119.0
BUY,117.724,0.7580554442400002,214.0,117.72754231516001,25193.69405544424,0.0,-583.6940554442417,2025-10-01 00:00:00+00:00,IAM,214.0,25192.936,0.7580554442400002,115.0
BUY,114.643,0.5657356906800001,378.0,116.39077193421936,43995.71179113492,0.0,-1352.7757911349186,2025-10-15 00:00:00+00:00,IAM,164.0,18801.452,0.5657356906800001,112.812
BUY,108.771,0.42547952070000006,508.0,114.44166785562129,58136.36727065562,0.0,-3494.8712706556166,2026-01-27 00:00:00+00:00,IAM,130.0,14140.23,0.42547952070000006,107.562
